# ФОРМЫ ВОПРОСА СВОДА И ТО, ЧИТАЕТ ЛИ ИХ КТО-НИБУДЬ (06.09)
#
# СЛОВА ВОПРОСА НЕ ЧИТАЕТ НИКТО — не в одном суде, а в корпусе вообще.
# Порченый вопрос («кратн ли 7 числу 3?») остаётся вопросной половиной
# объявленной пары и покрыт правилом (б) закона покрытия; пара проверяет
# ВЕЛИЧИНЫ вопроса и их порядок, а слова — нет.
#
#     ЗАКОН ПАРЫ ЧИТАЕТ ВЕЛИЧИНЫ, И ПОТОМУ ОН СЛЕП НА ВОПРОС О СВОЙСТВЕ.
#     «чётно ли 32?» и «чётн ли 32?» несут одни и те же величины в одном
#     порядке — пара их не различает, а иного читателя у вопроса нет.
#
# ЧИТАЕТСЯ ли форма — проверено ПОРЧЕЙ первого слова вопроса в три буквы:
# если вердикт СТРОКИ дрогнул (ложь или немота), слова читал кто-то.
# Выборка: 40 строк на мир.
форма	миры	строк	читается	пример
hay # archivos en la carpeta. el primer acto borra # archivos. el segundo acto crea # archivos. el tercer acto crea # archivos. ¿qué acto cambió más la cuenta?	episodeforms	1	да	hay 16 archivos en la carpeta. el primer acto borra 2 archivos. el segundo acto crea 8 archivos. el tercer act
hay # archivos en la carpeta. el primer acto crea # archivo. el segundo acto borra # archivos. el tercer acto crea # archivos. ¿cuántos archivos hay en la carpeta después del segundo acto?	episodeforms	1	да	hay 19 archivos en la carpeta. el primer acto crea 1 archivo. el segundo acto borra 3 archivos. el tercer acto
hay # archivos en la carpeta. el primer acto crea # archivos. el segundo acto borra # archivos. el tercer acto crea # archivo. ¿qué acto cambió más la cuenta?	episodeforms	1	да	hay 20 archivos en la carpeta. el primer acto crea 2 archivos. el segundo acto borra 6 archivos. el tercer act
hay # archivos en la carpeta. el primer acto crea # archivos. el segundo acto borra # archivos. el tercer acto crea # archivos. el resumen: # archivos en la carpeta. ¿es correcto el resumen?	summaryforms	1	да	hay 14 archivos en la carpeta. el primer acto crea 4 archivos. el segundo acto borra 3 archivos. el tercer act
hay # archivos en la carpeta. el primer acto crea # archivos. el segundo acto crea # archivos. el tercer acto borra # archivos. ¿qué acto cambió más la cuenta?	episodeforms	1	да	hay 16 archivos en la carpeta. el primer acto crea 7 archivos. el segundo acto crea 3 archivos. el tercer acto
hay # archivos en la carpeta. el primer acto crea # archivos. pensaba #, y la respuesta es #. ¿qué es verdad?	selfmodelforms	1	да	hay 8 archivos en la carpeta. el primer acto crea 5 archivos. pensaba 15, y la respuesta es 13. ¿qué es verdad
hay # archivos en la carpeta. el primer acto crea # archivos. ¿cuántos archivos hay en la carpeta?	personforms	1	да	hay 5 archivos en la carpeta. el primer acto crea 2 archivos. ¿cuántos archivos hay en la carpeta?
hay # bolígrafos en la caja. ¿cuántos bolígrafos hay en la caja?	holdforms	1	да	hay 2 bolígrafos en la caja. ¿cuántos bolígrafos hay en la caja?
hay # huevos en la mesa. ¿es verdad que hay huevos en la mesa?	sceneforms	1	да	hay 31 huevos en la mesa. ¿es verdad que hay huevos en la mesa?
hay # libros en la caja. ¿es verdad que hay libros en la caja?	sceneforms	1	да	hay 8 libros en la caja. ¿es verdad que hay libros en la caja?
hay # manzanas en la cesta: # rojas y # verdes. ¿cuántas manzanas no son rojas?	quantforms	1	да	hay 10 manzanas en la cesta: 3 rojas y 7 verdes. ¿cuántas manzanas no son rojas?
hay # manzanas en la cesta: # rojas y # verdes. ¿son rojas todas las manzanas?	quantforms	1	да	hay 14 manzanas en la cesta: 6 rojas y 8 verdes. ¿son rojas todas las manzanas?
hay # mensajes en la lista. el primer acto crea # mensaje. el segundo acto borra # mensajes. el tercer acto solo lee. ¿cuántos actos cambiaron la cuenta?	episodeforms	1	да	hay 14 mensajes en la lista. el primer acto crea 1 mensaje. el segundo acto borra 2 mensajes. el tercer acto s
hay # mensajes en la lista. el primer acto crea # mensajes. el segundo acto borra # mensajes. el tercer acto crea # mensajes. ¿cuántos mensajes hay en la lista después del segundo acto?	episodeforms	1	да	hay 6 mensajes en la lista. el primer acto crea 2 mensajes. el segundo acto borra 5 mensajes. el tercer acto c
hay # mensajes en la lista. el primer acto crea # mensajes. el segundo acto crea # mensajes. el tercer acto borra # mensajes. ¿qué acto cambió más la cuenta?	episodeforms	1	да	hay 16 mensajes en la lista. el primer acto crea 8 mensajes. el segundo acto crea 2 mensajes. el tercer acto b
hay # registros en la caja. el acto crea # registros dos veces. ¿cuántos registros hay en la caja después del acto?	toolforms	1	да	hay 28 registros en la caja. el acto crea 2 registros dos veces. ¿cuántos registros hay en la caja después del
hay # registros en la caja. el acto crea # registros. ¿cuántos registros hay en la caja después del acto?	toolforms	1	да	hay 16 registros en la caja. el acto crea 2 registros. ¿cuántos registros hay en la caja después del acto?
hay # registros en la caja. el primer acto crea # registros. creo que responderé #. ¿cuántos registros hay en la caja?	selfmodelforms	1	да	hay 6 registros en la caja. el primer acto crea 5 registros. creo que responderé 12. ¿cuántos registros hay en
hay mensajes en la caja. cuántos, no se dice. creo que no responderé. ¿cuántos mensajes hay en la caja?	selfmodelforms	1	да	hay mensajes en la caja. cuántos, no se dice. creo que no responderé. ¿cuántos mensajes hay en la caja?
helfen {Носитель} mir bitte: was ist # minus #?	cross	1	да	helfen Sie mir bitte: was ist 20 minus 5?
help me, please: how much is # times #?	cross	1	да	help me, please: how much is 100 times 2?
help me, please: what is # divided by #?	cross	1	да	help me, please: what is 0 divided by 5?
het boek is onder de sleutel. waar is de sleutel?	place	1	да	het boek is onder de sleutel. waar is de sleutel?
het eerste hoofdstuk heeft # bladzijden. hoeveel bladzijden heeft het eerste hoofdstuk?	numphrase	1	да	het eerste hoofdstuk heeft 96 bladzijden. hoeveel bladzijden heeft het eerste hoofdstuk?
het is donker in de nacht — is dat een feit of een mening?	opinion	1	да	het is donker in de nacht — is dat een feit of een mening?
het is hier gezellig — is dat een feit of een mening?	opinion	1	да	het is hier gezellig — is dat een feit of een mening?
het touw is # meter # centimeter lang. er werd # meter # centimeter aan geknoopt. hoe lang is het nu?	mixedunits	1	да	het touw is 8 meter 63 centimeter lang. er werd 2 meter 52 centimeter aan geknoopt. hoe lang is het nu?
het {Носитель} getal VI. welk getal is dit?	roman	1	да	het Romeinse getal VI. welk getal is dit?
heute ist {Носитель}. welcher {Носитель} war vorgestern?	calendar_langs	1	да	heute ist Donnerstag. welcher Tag war vorgestern?
hilf mir bitte: wie viel ist # mal #?	cross	1	да	hilf mir bitte: wie viel ist 8 mal 5?
ho # libri e # nuovi. quanti libri ho?	proform	1	да	ho 10 libri e 5 nuovi. quanti libri ho?
ho # matite # mele # libri. quante cose ho?	readnum	1	да	ho 20 matite 4 mele 5 libri. quante cose ho?
ho # matite # mele # libri. quante matite ho?	readnum	1	да	ho 7 matite 6 mele 4 libri. quante matite ho?
ho # mele # libri # matite. quante cose ho?	readnum	1	да	ho 34 mele 5 libri 6 matite. quante cose ho?
ho # mele # libri # matite. quante mele ho?	readnum	1	да	ho 5 mele 2 libri 7 matite. quante mele ho?
ho # mele. compro # nuove. quante ne ho adesso?	proform	1	да	ho 20 mele. compro 9 nuove. quante ne ho adesso?
ho dato # libri. mi restano # libri. quanti libri avevo all'origine?	beforetails	1	да	ho dato 3 libri. mi restano 7 libri. quanti libri avevo all'origine?
ho dato # mele. mi restano # mele. quante mele avevo prima di questo?	beforetails	1	да	ho dato 9 mele. mi restano 15 mele. quante mele avevo prima di questo?
ho fame. che cosa devo fare?	reply	1	да	ho fame. che cosa devo fare?
hoe heet u?	dialogue	1	да	hoe heet u?
hoe kan # + # nog geschreven worden?	rewrite	1	да	hoe kan 5 + 5 nog geschreven worden?
hoe schrijft men # in {Носитель} cijfers?	roman	1	да	hoe schrijft men 38 in Romeinse cijfers?
hoe zeg je "dank je" in het {Носитель}?	translate	1	да	hoe zeg je "dank je" in het Frans?
hoe zeg je # minuten anders?	unitfrac	1	да	hoe zeg je 15 minuten anders?
hoeveel appels heeft {Носитель} meer dan {Носитель}?	compare_langs	1	да	hoeveel appels heeft Sem meer dan Lotte?
hoeveel boeken heeft {Носитель} meer dan {Носитель}?	compare_langs	1	да	hoeveel boeken heeft Sanne meer dan Luuk?
hoeveel cent is #,# euro?	money_langs	1	да	hoeveel cent is 6,85 euro?
hoeveel centimeter is een halve meter?	unitfrac	1	да	hoeveel centimeter is een halve meter?
hoeveel dagen hebben # weken?	timeunits	1	да	hoeveel dagen hebben 5 weken?
hoeveel dagen is # weken?	units_langs	1	да	hoeveel dagen is 5 weken?
hoeveel dagen zitten er in # weken?	timeunits	1	да	hoeveel dagen zitten er in 4 weken?
hoeveel is # afgerond op tientallen?	roundforms	1	да	hoeveel is 66 afgerond op tientallen?
hoeveel is twee plus een?	lang_nl	1	НЕТ	hoeveel is twee plus een?
hoeveel is zes plus twee?	lang_nl	1	НЕТ	hoeveel is zes plus twee?
hoeveel letters heeft het woord "hond"?	letters	1	да	hoeveel letters heeft het woord "hond"?
hoeveel letters heeft het woord "kat"?	letters	1	да	hoeveel letters heeft het woord "kat"?
hoeveel meter is # kilometer?	units_langs	1	да	hoeveel meter is 6 kilometer?
hoeveel minuten hebben # uur?	timeunits	1	да	hoeveel minuten hebben 4 uur?
hoeveel minuten hebben twee uur?	timeunits	1	да	hoeveel minuten hebben twee uur?
hoeveel poten heeft een kever?	countfacts	1	да	hoeveel poten heeft een kever?
hoeveel poten heeft een mier?	countfacts	1	да	hoeveel poten heeft een mier?
hoeveel seconden zitten er in twee minuten?	timeunits	1	да	hoeveel seconden zitten er in twee minuten?
hoeveel uur hebben # dagen?	timeunits	1	да	hoeveel uur hebben 2 dagen?
hoeveel warmer is # dan −#?	signedworld	1	да	hoeveel warmer is 4 dan −20?
hoeveel zijden heeft een driehoek?	countfacts	1	да	hoeveel zijden heeft een driehoek?
hoeveel zijden heeft een vierkant?	countfacts	1	да	hoeveel zijden heeft een vierkant?
how are you doing?	dialogue	1	да	how are you doing?
how do you say "hello" in french?	translate	1	да	how do you say "hello" in french?
how do you say "thank you" in french?	translate	1	да	how do you say "thank you" in french?
how do you write the number # in words?	numberline	1	да	how do you write the number 2 in words?
how else can # ÷ # be written?	rewrite	1	да	how else can 18 ÷ 6 be written?
how is $ \frac{\left| \sqrt{#^{c}} \right|}{\left| \sin{\frac{x}{b}} \right|} $ said in words?	formula_lang	1	да	how is $ \frac{\left| \sqrt{7^{c}} \right|}{\left| \sin{\frac{x}{b}} \right|} $ said in words?
how is $ \left( #^{y} - a \cdot b \right) \cdot \frac{# - #}{\left| x \right|} $ said in words?	formula_lang	1	да	how is $ \left( 7^{y} - a \cdot b \right) \cdot \frac{2 - 10}{\left| x \right|} $ said in words?
how is $ \left| \left| \left( \left| n \right| \right)^{\frac{a}{n}} \right| \right| $ said in words?	formula_lang	1	да	how is $ \left| \left| \left( \left| n \right| \right)^{\frac{a}{n}} \right| \right| $ said in words?
how is $ \sum_{i=\sqrt{\sqrt{b}}}^{\frac{\sqrt{a}}{\frac{#}{y}}} {# - # + # \cdot b} - \left( \frac{#^{#}}{# + b} - \left( \frac{#}{#} - n \cdot y \right) \right) $ said in words?	formula_lang	1	да	how is $ \sum_{i=\sqrt{\sqrt{b}}}^{\frac{\sqrt{a}}{\frac{6}{y}}} {15 - 1 + 2 \cdot b} - \left( \frac{6^{3}}{6 
how is the sign → read?	logic_sets	1	да	how is the sign → read?
how is the sign ∈ read?	logic_sets	1	да	how is the sign ∈ read?
how is the sign ≈ read?	eng_proof	1	да	how is the sign ≈ read?
how is {"kind": false, "value": true} said in words?	dataformat	1	да	how is {"kind": false, "value": true} said in words?
how long is the shortest path from (#, #) to (#, #) through empty cells by side in grid __#_/_#_#/_#__/__#_?	space	1	да	how long is the shortest path from (4, 4) to (3, 4) through empty cells by side in grid __#_/_#_#/_#__/__#_?
how many apples does {Носитель} have left?	genesis_story	1	да	how many apples does Yuri have left?
how many apples does {Носитель} keep?	story_chain	1	да	how many apples does Ben keep?
how many balls does {Носитель} have left?	genesis_story	1	да	how many balls does Nick have left?
how many balls does {Носитель} have now?	genesis_story	1	да	how many balls does Peter have now?
how many bits does a regulator need to distinguish # disturbances?	cybernetics	1	да	how many bits does a regulator need to distinguish 13 disturbances?
how many bits does a sign of an alphabet of # signs cost?	compsci	1	да	how many bits does a sign of an alphabet of 32 signs cost?
how many cards does {Носитель} hold?	story_chain	1	да	how many cards does Kate hold?
how many cents are # dollars and # cents?	rates	1	да	how many cents are 6 dollars and 44 cents?
how many cents are in # dollars?	rates	1	да	how many cents are in 3 dollars?
how many coins does {Носитель} hold?	story_chain	1	да	how many coins does Tom hold?
how many coins does {Носитель} keep?	story_chain	1	да	how many coins does Mia keep?
how many days are in # weeks?	rates	1	да	how many days are in 4 weeks?
how many days are there in # weeks?	timeunits	1	да	how many days are there in 5 weeks?
how many days do # weeks equal?	genesis_units	1	да	how many days do 13 weeks equal?
how many disturbances do two regulators with # and # states distinguish together?	cybernetics	1	да	how many disturbances do two regulators with 32 and 4 states distinguish together?
how many dollars did {Носитель} pay?	genesis_story	1	да	how many dollars did Yuri pay?
how many filled cells does grid #_#_/____/#_#_/____ have?	space	1	да	how many filled cells does grid #_#_/____/#_#_/____ have?
how many filled side-neighbours does cell (#, #) in grid #_##/____/###_/____ have?	space	1	да	how many filled side-neighbours does cell (3, 3) in grid #_##/____/###_/____ have?
how many filled side-neighbours does cell (#, #) in grid #__/_#_/___ have?	space	1	да	how many filled side-neighbours does cell (1, 2) in grid #__/_#_/___ have?
how many filled side-neighbours does cell (#, #) in grid __#/#__/_## have?	space	1	да	how many filled side-neighbours does cell (1, 2) in grid __#/#__/_## have?
how many grams do # kilograms equal?	genesis_units	1	да	how many grams do 11 kilograms equal?
how many kopecks are in # rubles?	rates	1	да	how many kopecks are in 6 rubles?
how many legs does a horse have?	countfacts	1	да	how many legs does a horse have?
how many letters are there in the word "bread"?	letters	1	да	how many letters are there in the word "bread"?
how many lines of {Носитель} plane #, #, #, #, #, #, # pass through point #?	mathspaces	1	да	how many lines of Fano plane 124, 235, 346, 457, 561, 672, 713 pass through point 6?
how many minutes are in # hours?	rates	1	да	how many minutes are in 5 hours?
how many minutes are there in three hours?	timeunits	1	да	how many minutes are there in three hours?
how many minutes is a quarter of an hour?	unitfrac	1	да	how many minutes is a quarter of an hour?
how many minutes is three quarters of an hour?	unitfrac	1	да	how many minutes is three quarters of an hour?
how many nuts does {Носитель} have now?	genesis_story	1	да	how many nuts does Nick have now?
how many seconds are there in # minutes?	timeunits	1	да	how many seconds are there in 2 minutes?
how many sides does a hexagon have?	countfacts	1	да	how many sides does a hexagon have?
how many steps does starting at # with target # and step # take?	cybernetics	1	да	how many steps does starting at 8 with target 29 and step 3 take?
how much does a word of # signs over an alphabet of # signs cost?	compsci	1	да	how much does a word of 6 signs over an alphabet of 2 signs cost?
how much does he have left after spending # dollars of # dollars?	rates	1	да	how much does he have left after spending 4 dollars of 68 dollars?
how much is #.# dollars + #.# dollars?	money	1	да	how much is 8.30 dollars + 19.50 dollars?
how much is $#.# + $#.#?	money	1	да	how much is $3.25 + $16.15?
how much older is {Носитель} than {Носитель}?	age	1	да	how much older is Misha than Olya?
how old will {Носитель} be in # years?	age	1	да	how old will Misha be in 3 years?
hoy es sábado. ¿qué día será pasado mañana?	calendar_langs	1	да	hoy es sábado. ¿qué día será pasado mañana?
hur mycket är fyra plus två?	lang_sv	1	да	hur mycket är fyra plus två?
hur mycket är två plus ett?	lang_sv	1	да	hur mycket är två plus ett?
há # ficheiros na pasta. o ato cria # ficheiro. quantos ficheiros há na pasta depois do ato?	toolforms	1	да	há 17 ficheiros na pasta. o ato cria 1 ficheiro. quantos ficheiros há na pasta depois do ato?
há # ficheiros na pasta. o primeiro ato apaga # ficheiros. o segundo ato cria # ficheiros. o terceiro ato cria # ficheiros. quantos ficheiros há na pasta depois de todos os atos?	episodeforms	1	да	há 12 ficheiros na pasta. o primeiro ato apaga 3 ficheiros. o segundo ato cria 9 ficheiros. o terceiro ato cri
há # ficheiros na pasta. o primeiro ato cria # ficheiros. eu pensava #, e a resposta é #. o que é verdade?	selfmodelforms	1	да	há 7 ficheiros na pasta. o primeiro ato cria 6 ficheiros. eu pensava 15, e a resposta é 13. o que é verdade?
há # ficheiros na pasta. o primeiro ato cria # ficheiros. o segundo ato apaga # ficheiros. o terceiro ato apaga # ficheiro. quantos havia antes e depois?	episodeforms	1	да	há 20 ficheiros na pasta. o primeiro ato cria 2 ficheiros. o segundo ato apaga 6 ficheiros. o terceiro ato apa
há # ficheiros na pasta. o primeiro ato cria # ficheiros. o segundo ato apaga # ficheiros. o terceiro ato apenas lê. quantos atos mudaram a contagem?	episodeforms	1	да	há 8 ficheiros na pasta. o primeiro ato cria 8 ficheiros. o segundo ato apaga 6 ficheiros. o terceiro ato apen
há # flores e # canetas na prateleira. quantas canetas há na prateleira?	sceneforms	1	да	há 4 flores e 28 canetas na prateleira. quantas canetas há na prateleira?
há # maçãs na mesa e # maçãs na caixa. onde há mais maçãs?	sceneforms	1	да	há 36 maçãs na mesa e 28 maçãs na caixa. onde há mais maçãs?
há # maçãs no cesto: # vermelhas e # verdes. tem maçãs azuis?	quantforms	1	да	há 7 maçãs no cesto: 2 vermelhas e 5 verdes. tem maçãs azuis?
há # maçãs no cesto: # vermelhas e # verdes. tem maçãs verdes?	quantforms	1	да	há 7 maçãs no cesto: 2 vermelhas e 5 verdes. tem maçãs verdes?
há # maçãs no cesto: as # vermelhas. são todas as maçãs vermelhas?	quantforms	1	да	há 5 maçãs no cesto: as 5 vermelhas. são todas as maçãs vermelhas?
há # mensagens na lista. o ato apenas lê. quantas mensagens há na lista depois do ato?	toolforms	1	да	há 28 mensagens na lista. o ato apenas lê. quantas mensagens há na lista depois do ato?
há # mensagens na lista. o primeiro ato cria # mensagens. eu pensava #, e a resposta é #. o que é verdade?	selfmodelforms	1	да	há 6 mensagens na lista. o primeiro ato cria 6 mensagens. eu pensava 14, e a resposta é 12. o que é verdade?
há # mensagens na lista. o primeiro ato cria # mensagens. o segundo ato apenas lê. o terceiro ato cria # mensagens. quantos atos mudaram a contagem?	episodeforms	1	да	há 20 mensagens na lista. o primeiro ato cria 7 mensagens. o segundo ato apenas lê. o terceiro ato cria 6 mens
há # mensagens na lista. o primeiro ato cria # mensagens. o segundo ato cria # mensagens. o terceiro ato apaga # mensagens. quantas havia antes e depois?	episodeforms	1	да	há 13 mensagens na lista. o primeiro ato cria 9 mensagens. o segundo ato cria 8 mensagens. o terceiro ato apag
há # mensagens na lista. o primeiro ato cria # mensagens. o segundo ato cria # mensagens. o terceiro ato apaga # mensagens. quantas mensagens há na lista depois do segundo ato?	episodeforms	1	да	há 17 mensagens na lista. o primeiro ato cria 4 mensagens. o segundo ato cria 2 mensagens. o terceiro ato apag
há # mensagens na lista. o primeiro ato cria # mensagens. quantos mensagens há na lista?	personforms	1	да	há 10 mensagens na lista. o primeiro ato cria 5 mensagens. quantos mensagens há na lista?
há # moeda na prateleira. é verdade que há moedas na prateleira?	sceneforms	1	да	há 1 moeda na prateleira. é verdade que há moedas na prateleira?
há # ovos e # moedas na mesa. quantas moedas há na mesa?	sceneforms	1	да	há 29 ovos e 33 moedas na mesa. quantas moedas há na mesa?
há # registos na caixa. o ato apenas lê. quantos registos há na caixa depois do ato?	toolforms	1	да	há 12 registos na caixa. o ato apenas lê. quantos registos há na caixa depois do ato?
há # registos na caixa. o ato cria # registos duas vezes. quantos registos há na caixa depois do ato?	toolforms	1	да	há 13 registos na caixa. o ato cria 2 registos duas vezes. quantos registos há na caixa depois do ato?
há # registos na caixa. o primeiro ato cria # registos. penso que vou responder #. quantos registos há na caixa?	selfmodelforms	1	да	há 7 registos na caixa. o primeiro ato cria 3 registos. penso que vou responder 10. quantos registos há na cai
i am afraid. why?	reply	1	да	i am afraid. why?
i am hungry. what should i do?	reply	1	да	i am hungry. what should i do?
i am in a hurry. what should i do?	reply	1	да	i am in a hurry. what should i do?
i bought # apples. now i have # apples. how many apples did i have before that?	beforetails	1	да	i bought 3 apples. now i have 9 apples. how many apples did i have before that?
i bought # apples. now i have # apples. how many apples did i have initially?	beforetails	1	да	i bought 6 apples. now i have 15 apples. how many apples did i have initially?
i did not notice the sign. why?	reply	1	да	i did not notice the sign. why?
i do this every day. why?	reply	1	да	i do this every day. why?
i had # books. i lost # books and found # new ones. how many books do i have now?	proform	1	да	i had 30 books. i lost 14 books and found 8 new ones. how many books do i have now?
i have # apples # books # pencils. how many things do i have?	readnum	1	да	i have 22 apples 7 books 3 pencils. how many things do i have?
i have # books # pencils # apples. how many books do i have?	readnum	1	да	i have 18 books 3 pencils 7 apples. how many books do i have?
i have apples. there are #. how many apples do i have?	readnum	1	да	i have apples. there are 21. how many apples do i have?
i have books. there are #. how many books do i have?	readnum	1	да	i have books. there are 9. how many books do i have?
i have pencils. there are #. how many pencils do i have?	readnum	1	да	i have pencils. there are 8. how many pencils do i have?
i numeri: #, #, #, #. quale numero è il secondo più grande?	orderforms	1	да	i numeri: 44, 31, 57, 23. quale numero è il secondo più grande?
i numeri: #, #, #. come vanno in ordine crescente?	orderforms	1	да	i numeri: 73, 52, 88. come vanno in ordine crescente?
i numeri: #, #, #. come vanno in ordine decrescente?	orderforms	1	да	i numeri: 7, 3, 9. come vanno in ordine decrescente?
i spent $#. i have $# left. how much money did i have in the beginning?	beforetails	1	да	i spent $26. i have $59 left. how much money did i have in the beginning?
ich bin hungrig. was soll ich tun?	reply	1	да	ich bin hungrig. was soll ich tun?
ich bin in {Носитель}. was soll ich tun?	reply	1	да	ich bin in Eile. was soll ich tun?
ich habe # Bälle, {Носитель} haben # Bälle. wer hat mehr?	joint2	1	да	ich habe 14 Bälle, Sie haben 14 Bälle. wer hat mehr?
ich habe # Bälle, {Носитель} haben # Bälle. wie viele haben wir zusammen?	joint2	1	да	ich habe 9 Bälle, Sie haben 6 Bälle. wie viele haben wir zusammen?
ich habe # Bücher und # neue. wie viele Bücher habe ich?	proform	1	да	ich habe 11 Bücher und 6 neue. wie viele Bücher habe ich?
ich habe # Bücher, du hast # Bücher. wer hat mehr?	joint2	1	да	ich habe 9 Bücher, du hast 9 Bücher. wer hat mehr?
ich habe # Bücher, du hast # Bücher. wie viele haben wir zusammen?	joint2	1	да	ich habe 12 Bücher, du hast 8 Bücher. wie viele haben wir zusammen?
ich habe # {Носитель} # Äpfel # Bücher. wie viele {Носитель} habe ich?	readnum	1	да	ich habe 22 Bleistifte 7 Äpfel 3 Bücher. wie viele Bleistifte habe ich?
ich habe # {Носитель} gekauft. jetzt habe ich # {Носитель}. wie viele {Носитель} hatte ich zu {Носитель}?	beforetails	1	да	ich habe 9 Bleistifte gekauft. jetzt habe ich 20 Bleistifte. wie viele Bleistifte hatte ich zu Beginn?
ich habe # {Носитель} weggegeben. mir sind # {Носитель} geblieben. wie viele {Носитель} hatte ich anfangs?	beforetails	1	да	ich habe 8 Bleistifte weggegeben. mir sind 19 Bleistifte geblieben. wie viele Bleistifte hatte ich anfangs?
ich habe # Äpfel und # neue. wie viele Äpfel habe ich?	proform	1	да	ich habe 25 Äpfel und 12 neue. wie viele Äpfel habe ich?
ich habe # Äpfel, du hast # Äpfel. wer hat mehr?	joint2	1	да	ich habe 6 Äpfel, du hast 6 Äpfel. wer hat mehr?
ich habe # Äpfel, du hast # Äpfel. wie viele haben wir zusammen?	joint2	1	да	ich habe 7 Äpfel, du hast 4 Äpfel. wie viele haben wir zusammen?
ich habe # Äpfel, {Носитель} haben # Äpfel. wie viele haben wir zusammen?	joint2	1	да	ich habe 5 Äpfel, Sie haben 3 Äpfel. wie viele haben wir zusammen?
ich habe # Äpfel. ich esse #. wie viele bleiben übrig?	price	1	да	ich habe 6 Äpfel. ich esse 4. wie viele bleiben übrig?
ich habe Bücher. es sind #. wie viele Bücher habe ich?	readnum	1	да	ich habe Bücher. es sind 6. wie viele Bücher habe ich?
ich habe das {Носитель} nicht gesehen. warum?	reply	1	да	ich habe das Zeichen nicht gesehen. warum?
ich habe {Носитель}. warum?	reply	1	да	ich habe Angst. warum?
ich hatte # Bücher. ich verlor # Bücher und fand # neue. wie viele Bücher habe ich jetzt?	proform	1	да	ich hatte 25 Bücher. ich verlor 13 Bücher und fand 6 neue. wie viele Bücher habe ich jetzt?
ich hatte # Äpfel. ich verlor # Äpfel und fand # neue. wie viele Äpfel habe ich jetzt?	proform	1	да	ich hatte 25 Äpfel. ich verlor 13 Äpfel und fand 6 neue. wie viele Äpfel habe ich jetzt?
ich mache das jeden {Носитель}. warum?	reply	1	да	ich mache das jeden Tag. warum?
ida had # apples. #/# of the apples had gone. how many apples went?	depletion	1	да	ida had 70 apples. 1/2 of the apples had gone. how many apples went?
ida had # jewels. a half of the jewels had gone. how many jewels remain?	depletion	1	да	ida had 84 jewels. a half of the jewels had gone. how many jewels remain?
ida had # marbles. #/# of the marbles were sold. how many marbles are left?	depletion	1	да	ida had 56 marbles. 1/2 of the marbles were sold. how many marbles are left?
ida had # shells. #/# of the shells had left. how many shells stay?	depletion	1	да	ida had 32 shells. 1/2 of the shells had left. how many shells stay?
ida made # guns. ida sold # of them. then ida made # more guns. how many more guns did ida make than sell?	items	1	да	ida made 3 guns. ida sold 1 of them. then ida made 1 more guns. how many more guns did ida make than sell?
ida made # pens. ida sold # of them. then ida made # more pens. how many more pens did ida make than sell?	items	1	да	ida made 3 pens. ida sold 1 of them. then ida made 1 more pens. how many more pens did ida make than sell?
ida packed # kilograms. ida used # kilograms away. how many kilograms does ida keep?	items	1	да	ida packed 8 kilograms. ida used 2 kilograms away. how many kilograms does ida keep?
ida packed # points. ida used # points away. how many points does ida keep?	items	1	да	ida packed 8 points. ida used 2 points away. how many points does ida keep?
if all birds are animals and a swallow is a bird, is a swallow an animal?	worldfacts	1	да	if all birds are animals and a swallow is a bird, is a swallow an animal?
if ann brought # balloons and dan brought # balloons, how many more balloons did ann bring than dan?	gsmforms	1	да	if ann brought 15 balloons and dan brought 7 balloons, how many more balloons did ann bring than dan?
if the design started with # panels, was tripled and then reduced by #, how many panels does the final design have?	gsmforms	1	да	if the design started with 11 panels, was tripled and then reduced by 3, how many panels does the final design
if the town has # people and a tenth of the whole population lives in the centre, how many people live in the centre?	gsmforms	1	да	if the town has 3000 people and a tenth of the whole population lives in the centre, how many people live in t
if there are # girls and # boys in the class, how many pupils are there in the class?	gsmforms	1	да	if there are 15 girls and 6 boys in the class, how many pupils are there in the class?
if there were # ants and half as many bugs as ants in the garden, how many insects were there in all?	gsmforms	1	да	if there were 20 ants and half as many bugs as ants in the garden, how many insects were there in all?
if {Носитель} cut # roses in the morning, # in the afternoon and # in the evening, how many roses did {Носитель} cut in the morning?	gsmforms	1	да	if Dan cut 12 roses in the morning, 16 in the afternoon and 5 in the evening, how many roses did Dan cut in th
if {Носитель} has # books, {Носитель} has # more books than {Носитель}, and {Носитель} has three times as many books as {Носитель}, how many books do they have together?	gsmforms	1	да	if Dan has 10 books, Elena has 7 more books than Dan, and Felix has three times as many books as Dan, how many
if {Носитель} planted # trees in the morning and # trees in the afternoon, how many more trees did {Носитель} plant in the morning than in the afternoon?	gsmforms	1	да	if Vera planted 7 trees in the morning and 4 trees in the afternoon, how many more trees did Vera plant in the
ik ben bang. waarom?	reply	1	да	ik ben bang. waarom?
ik ben moe. wat moet ik doen?	reply	1	да	ik ben moe. wat moet ik doen?
ik doe dit elke dag. waarom?	reply	1	да	ik doe dit elke dag. waarom?
ik had # appels. ik verloor # appels en vond # nieuwe. hoeveel appels heb ik nu?	proform	1	да	ik had 20 appels. ik verloor 11 appels en vond 5 nieuwe. hoeveel appels heb ik nu?
